entrez,order,symbol
20768,7,Sephs2
212679,NA,Mars2
16790,6,Anpep
110175,7,Ggct
103140,4,Gstt3
56615,4,Mgst1
68563,NA,Dpm3
17309,NA,Mgat3
13478,NA,Dpagt1
14423,8,Galnt1
207839,8,Galnt6
230145,8,Galnt12
215494,NA,Pomgnt2
97884,NA,B3galnt2
108902,NA,B4gat1
216395,NA,Rxylt1
94181,8,Nans
67980,5,Gnpda2
245847,8,Amdhd2
12764,9,Cmas
12763,9,Cmah
69080,6,Gmppa
27029,NA,Sgsh
109685,NA,Hyal3
13350,5,Dgat1
67800,5,Dgat2
19012,4,Plpp1
67916,4,Plpp3
67216,4,Mboat2
14732,5,Gpam
14933,5,Gk
69718,3,Ipmk
212111,3,Inpp5a
16329,4,Inpp1
114663,3,Impa2
18798,2,Plcb4
240752,3,Pik3c2b
16331,3,Inpp5d
67556,NA,Pigm
14712,NA,Gnpat
99010,3,Lpcat4
12660,3,Chka
225845,3,Plaat3
211429,2,Pla2g4b
53357,3,Pla2g6
110524,3,Dgkq
217480,3,Dgkb
380921,3,Dgkh
14571,6,Gpd2
16816,4,Lcat
100163,NA,Pafah2
27226,NA,Pla2g7
71519,4,Cyp2u1
19225,3,Ptgs2
96979,4,Ptges2
21391,4,Tbxas1
67260,6,Cers4
20598,6,Smpd2
58994,6,Smpd3
230379,5,Acer2
74442,6,Sgms2
20441,7,St3gal3
109801,NA,Glo1
69606,7,Mtfmt
29807,NA,Tpk1
67993,5,Nudt12
225994,4,Nmrk1
50721,5,Sirt6
64384,5,Sirt3
106564,5,Ppcs
623661,8,Lipt1
67164,9,Lipt2
110391,6,Qdpr
268566,6,Gphn
72562,7,Pcbd2
19682,6,Rdh5
77974,6,Rdh12
19683,6,Rdh16
241452,6,Dhrs9
15159,6,Hccs
12870,NA,Cp
14297,NA,Fxn
226139,NA,Cox15
319554,7,Idi1
68603,6,Pmvk
14593,7,Ggps1
110606,7,Fntb
14272,7,Fnta
13849,4,Ephx1
58988,3,Rps6kb2
56717,3,Mtor
13645,4,Egf
11836,3,Araf
22339,3,Vegfa
54635,NA,Pdgfc
14173,4,Fgf2
14456,NA,Gas6
17395,3,Mmp9
15200,3,Hbegf
18747,3,Prkaca
12575,3,Cdkn1a
11920,4,Atm
170762,NA,Nup155
231042,NA,Nupl2
225160,NA,Thoc1
218693,8,Paip1
67031,7,Upf3a
68134,7,Upf3b
108067,NA,Eif2b3
76884,4,Cyfip2
225363,NA,Etf1
51786,NA,Cpsf2
51792,3,Ppp2r1a
56422,NA,Hbs1l
12189,4,Brca1
237211,NA,Fancb
14088,NA,Fancc
72775,NA,Fance
12144,NA,Blm
223970,NA,Rmi2
235610,NA,Atrip
71718,4,Telo2
230484,NA,Usp1
20892,7,Cenpx
101831,7,Faap24
15205,5,Hes1
19417,3,Rasgrf1
13537,NA,Dusp2
18218,NA,Dusp8
240672,NA,Dusp5
67603,5,Dusp6
320139,NA,Ptpn7
76089,4,Rapgef2
17532,3,Mras
233046,3,Rasgrp4
13712,3,Elk1
26397,4,Map2k3
13197,4,Gadd45a
16176,3,Il1b
15512,4,Hspa2
19057,3,Ppp3cc
26411,NA,Map4k1
20807,4,Srf
13637,NA,Efna2
13639,NA,Efna4
14177,NA,Fgf6
14180,NA,Fgf9
14256,NA,Flt3l
13836,4,Epha2
16590,4,Kit
18212,4,Ntrk2
66482,5,Exoc2
19765,3,Ralbp1
56392,NA,Shoc2
13800,5,Enah
56508,2,Rapgef4
110351,NA,Rap1gap
17356,3,Afdn
14293,5,Fpr1
12387,3,Ctnnb1
57257,3,Vav3
51791,4,Rgs14
22335,3,Vdac3
18436,5,P2rx1
18679,4,Phka1
18682,4,Phkg1
20192,4,Ryr3
12767,5,Cxcr4
53313,4,Atp2a3
11941,4,Atp2b2
67972,4,Atp2b1
16369,3,Irs3
384783,3,Irs2
26427,3,Creb3l1
58991,NA,Ghrl
16173,3,Il18
21950,NA,Tnfsf9
21949,NA,Tnfsf8
16994,NA,Ltb
16153,4,Il10
16168,4,Il15
244218,NA,Ctf2
21944,NA,Tnfsf12
22035,4,Tnfsf10
20310,4,Cxcl2
20306,NA,Ccl7
20301,NA,Ccl27a
20300,NA,Ccl25
16181,NA,Il1rn
110075,NA,Bmp3
14566,NA,Gdf9
12154,NA,Bmp10
12769,5,Ccr9
12770,5,Ccr1l1
12772,5,Ccr2
18036,4,Nfkbib
18034,4,Nfkb2
12914,4,Crebbp
15980,3,Ifngr2
26556,5,Homer1
107650,3,Pi4kb
76500,NA,Ip6k2
13609,4,S1pr1
14061,7,F2
68039,NA,Nmb
12266,5,C3
11535,NA,Adm
12649,5,Chek1
50883,5,Chek2
55948,4,Sfn
17120,5,Mad1l1
12235,4,Bub1
12447,4,Ccne1
66671,NA,Ccnh
23834,5,Cdc6
18393,6,Orc2
12544,NA,Cdc45
27214,NA,Dbf4
12442,4,Ccnb2
107995,4,Cdc20
52206,4,Anapc4
66156,4,Anapc11
69957,4,Cdc16
99152,4,Anapc2
218294,NA,Cdc14b
12236,6,Bub1b
56150,5,Mad2l1
13557,5,E2f3
242705,5,E2f2
67141,6,Fbxo5
20438,4,Siah1b
233189,NA,Ctu1
20333,NA,Sec22b
74370,4,Rptor
242557,NA,Atg4c
50873,4,Prkn
72018,3,Fundc1
17684,4,Cited2
13198,3,Ddit3
386649,NA,Nsfl1c
75744,NA,Svip
13660,NA,Ehd1
74998,NA,Rab11fip2
75767,NA,Rab11fip1
73711,NA,Mvb12a
20479,NA,Vps4b
13855,NA,Epn2
100017,NA,Ldlrap1
22145,4,Tuba4a
72129,NA,Pex13
67046,3,Tbc1d7
20539,4,Slc7a5
277854,6,Depdc5
230784,4,Sesn2
13542,5,Dvl1
71962,7,Castor1
12829,4,Col4a4
12835,NA,Col6a3
12841,NA,Col9a3
19699,NA,Reln
20750,4,Spp1
21825,4,Thbs1
22371,NA,Vwf
15370,3,Nr4a1
20787,4,Srebf1
13036,NA,Ctsh
57913,4,Pidd1
22042,4,Tfrc
15975,3,Ifnar1
56532,5,Ripk3
30941,NA,Usp21
319192,5,H2ac19
208092,NA,Chmp6
17865,5,Mybl2
27354,8,Nbn
19367,NA,Rad9a
19355,NA,Rad1
110557,NA,H2-Q6
21954,4,Tnni3
22004,5,Tpm2
58200,4,Ppp1r1a
12916,NA,Crem
77579,5,Myh10
53627,NA,Porcn
192199,NA,Rspo1
68318,NA,Aph1c
18223,NA,Numbl
19207,5,Ptch2
17130,4,Smad6
13590,NA,Lefty1
218441,NA,Zfyve16
17965,NA,Nbl1
68799,NA,Rgmb
268902,5,Robo2
20346,NA,Sema3a
16728,NA,L1cam
13835,NA,Epha1
18846,4,Plxna3
223881,5,Rnd1
171171,NA,Ntng2
18208,NA,Ntn1
14283,3,Fosl1
14284,3,Fosl2
246256,3,Fcgr4
232801,6,Lilra5
319710,5,Frmd6
22601,4,Yap1
217325,4,Llgl2
105782,5,Scrib
13385,5,Dlg4
21677,4,Tead2
29806,NA,Limd1
16421,4,Itgb7
320910,4,Itgb8
22330,4,Vcl
12389,3,Cav1
15366,NA,Hmmr
12505,4,Cd44
329872,NA,Frem1
15000,4,H2-DMb2
18613,NA,Pecam1
18190,NA,Nrxn2
11658,NA,Alcam
20737,NA,Spn
20343,NA,Sell
17136,NA,Mag
16415,4,Itgb2l
16408,4,Itgal
22329,4,Vcam1
380928,5,Lmo7
108100,4,Baiap2
102098,5,Arhgef18
22350,3,Ezr
56332,4,Amotl2
74145,8,F13a1
18816,NA,Serpinf2
14067,6,F5
17087,7,Ly96
257632,NA,Nod2
66824,4,Pycard
54483,4,Mefv
67955,NA,Sugt1
107607,4,Nod1
378425,NA,Nlrp12
100038882,4,Isg15
66641,NA,Sike1
56619,NA,Clec4e
17474,4,Clec4d
12042,5,Bcl10
12700,4,Cish
216233,3,Socs2
67296,4,Socs4
56469,NA,Pias1
20844,NA,Stam
14600,3,Ghr
16186,3,Il2rg
16190,3,Il4ra
213208,3,Il20rb
242700,3,Ifnlr1
77777,NA,Ulbp1
19401,4,Rara
108723,4,Card11
22165,3,Txk
14812,4,Grin2b
14799,4,Gria1
73914,5,Irak3
242443,4,Grin3a
224997,6,Dlgap1
18343,4,Olfr44
257962,4,Olfr222
258189,4,Olfr624
258335,4,Olfr374
258381,4,Olfr460
258389,4,Olfr1278
258463,4,Olfr1393
258522,4,Olfr1183
258571,4,Olfr1033
258712,4,Olfr433
258861,4,Olfr763
258968,4,Olfr1247
259041,4,Olfr1414
259083,4,Olfr547
110876,NA,Scn2a
20215,NA,Sag
226970,6,Arhgef4
329165,4,Abi2
213119,4,Itga10
54646,4,Ppp1r3f
110095,4,Pygl
19309,4,Pygm
26875,3,Pclo
15183,NA,Hdac3
17691,4,Sik1
18227,4,Nr4a2
381489,NA,Rxfp1
240047,2,Mmp25
228775,5,Trib3
21428,4,Mlx
213464,NA,Rbbp5
11931,3,Atp1b1
98660,3,Atp1a2
237038,3,Nox1
68118,4,Atg101
72504,NA,Taf4b
215114,NA,Hip1
81601,NA,Kat5
19122,NA,Prnp
170787,NA,Hdac10
56233,NA,Hdac7
622434,NA,Arhgef26
234683,6,Elmo3
17920,4,Myo6
12306,NA,Anxa2
12268,NA,C4b
26431,3,Git2
50492,NA,Thop1
239081,NA,Tlr11
16178,4,Il1r2
15507,4,Hspb1
170767,5,Rfxap
19727,5,Rfxank
12795,4,Plk3
68098,4,Rchy1
58185,5,Rsad2
107932,NA,Chd4
545812,NA,Pilrb2
72584,NA,Cul4b
75717,NA,Cul5
83383,4,Tfap4
20971,5,Sdc4
14733,8,Gpc1
11864,4,Arnt2
16174,4,Il18rap
16182,4,Il18r1
17868,NA,Mybpc3
26897,4,Acot1
230027,NA,Coq3
76429,7,Lhpp
74167,5,Nudt9
27364,7,Srr
209692,7,Dhtkd1
68636,NA,Fahd1
227697,6,Dolk
67574,NA,Alg13
70325,NA,Pigw
241062,NA,Pgap1
66469,4,Prxl2b
233799,7,Acsm2
68646,4,Nadk2
18115,4,Nnt
56075,7,Pdss1
211389,8,Suox
56698,NA,Phax
66603,NA,Gemin2
67242,NA,Gemin6
66069,NA,Snupn
66441,8,Magohb
69912,NA,Nup43
386612,NA,Thoc6
12228,8,Btg3
22057,8,Tob1
72587,8,Pan3
22227,4,Ucp1
11832,5,Aqp7
20422,5,Sem1
70681,5,Abraxas1
114714,6,Rad51c
19361,6,Rad51
17350,6,Mlh1
21935,6,Tnfrsf17
21940,NA,Cd27
27279,NA,Tnfrsf12a
252837,6,Ackr4
107527,NA,Il1rl2
12045,4,Bcl2a1b
12047,4,Bcl2a1d
20620,4,Plk2
12053,4,Bcl6
14658,7,Glrb
233571,5,P2ry6
16995,7,Ltb4r1
14289,5,Fpr2
110902,9,Chrna2
14428,NA,Galr2
17203,5,Mc5r
107986,4,Ddb2
68428,4,Steap3
53892,4,Ppm1d
69372,8,Mocs3
55943,NA,Stx8
214952,5,Rhot2
66201,NA,Vta1
259300,NA,Ehd2
227613,4,Tubb4b
227743,5,Mapkap1
20740,4,Sptan1
16905,6,Lmna
16907,6,Lmnb2
12955,4,Cryab
72568,6,Lin9
107515,NA,Lgr4
54712,NA,Plxnc1
231148,4,Ablim2
12934,5,Dpysl2
21780,4,Tfam
216856,NA,Nlgn2
12483,6,Cd22
20612,NA,Siglec1
18793,3,Plaur
12796,4,Camp
17909,4,Myo10
17357,3,Marcksl1
227753,4,Gsn
20893,6,Bhlhe40
225998,6,Rorb
20979,4,Syt1
72843,5,Prdm4
66091,4,Ndufa3
66377,4,Ndufc1
66414,4,Ndufa12
66416,4,Ndufa7
69875,4,Ndufa11
78330,4,Ndufv3
56843,4,Trpm5
544963,4,Iqgap2
14252,6,Flot2
55960,4,Ebag9
16534,4,Kcnn4
16516,4,Kcnj15
106407,9,Slc51a
234664,NA,Nae1
232943,3,Klc3
23821,NA,Bace1
12862,5,Cox6a2
214084,6,Slc18a2
22428,5,Dctn6
53598,5,Dctn3
56444,5,Actr10
237806,5,Dnah9
229906,NA,Gtf2b
11838,4,Arc
13340,NA,Slc29a2
319179,5,H2bc6
319181,5,H2bc8
319190,5,H2bc21
103967,4,Dnm3
70297,NA,Gcc2
66395,NA,Ahnak
54396,4,Irgm2
18970,5,Polb
100040944,4,Gm3055
108167848,4,Gm12258
170763,4,Zfp87
170938,4,Zfp617
192651,4,Zfp286
193452,4,Zfp184
210104,4,Zfp658
213011,4,Zfp583
216177,4,AU041133
218314,4,Zfp595
224694,4,Zfp81
224893,4,Zfp959
22643,4,Zfp101
22689,4,Zfp27
22710,4,Zfp52
22715,4,Zfp57
22751,4,Zfp90
22775,4,Zik1
232966,4,Zfp114
233056,4,Zfp790
233060,4,Zfp382
233168,4,AI987944
233987,4,Zfp958
234358,4,Zfp930
234362,4,Zfp868
235028,4,Zfp426
235956,4,Zfp825
236193,4,Zfp709
237775,4,Zfp867
238692,4,Zfp874a
238693,4,Zfp58
239546,4,Zfp647
239652,4,Zfp641
240034,4,Zfp760
240063,4,Zfp811
243308,4,A430033K04Rik
243833,4,Zfp128
243834,4,Zfp324
243963,4,Zfp473
244556,4,Zfp791
244713,4,Zfp317
27081,4,Zfp275
272347,4,Zfp398
27274,4,Zfp354b
319535,4,Zfp182
381066,4,Zfp948
381067,4,Zfp229
384763,4,Zfp667
545938,4,Zfp607a
56314,4,Zfp113
56525,4,Zfp235
629016,4,Zfp953
665211,4,Gm14326
67911,4,Zfp169
69234,4,Zfp688
69944,4,2810021J22Rik
71640,4,Zfp949
72154,4,Zfp157
72180,4,Zfp661
72306,4,Zfp777
73610,4,Zfp433
73729,4,Zfp383
74352,4,Zfp84
78921,4,9130019O22Rik
22352,4,Vim
11767,NA,Ap1m1
667823,6,Trim5
22032,4,Traf4
66911,6,Nudt16l1
12050,NA,Bcl2l2
171543,NA,Bmf
71819,NA,Kif23
110794,5,Cebpe
26992,6,Brd7
20514,4,Slc1a5
56517,4,Slc22a21
