entrez,order,symbol
12444,4,Ccnd2
13555,5,E2f1
242705,5,E2f2
20438,4,Siah1b
21933,4,Tnfrsf10b
233189,NA,Ctu1
20333,NA,Sec22b
74370,4,Rptor
68943,NA,Pink1
71648,6,Optn
72018,3,Fundc1
66687,NA,Tbc1d15
52187,4,Rragd
13198,3,Ddit3
12333,4,Capn1
66530,NA,Ubxn6
75744,NA,Svip
78287,NA,Rbsn
13660,NA,Ehd1
74998,NA,Rab11fip2
73711,NA,Mvb12a
13855,NA,Epn2
100017,NA,Ldlrap1
22145,4,Tuba4a
22146,4,Tuba1c
72129,NA,Pex13
19305,NA,Pex5
67046,3,Tbc1d7
277854,6,Depdc5
71962,7,Castor1
74343,4,Crtc2
12835,NA,Col6a3
12841,NA,Col9a3
19699,NA,Reln
20750,4,Spp1
21825,4,Thbs1
226519,NA,Lamc1
15370,3,Nr4a1
20787,4,Srebf1
12366,NA,Casp2
71775,4,1300017J02Rik
56532,5,Ripk3
30941,NA,Usp21
319192,5,H2ac19
17865,5,Mybl2
27354,8,Nbn
19355,NA,Rad1
22004,5,Tpm2
58200,4,Ppp1r1a
77579,5,Myh10
56505,NA,Ruvbl1
212398,5,Frat2
76441,4,Daam2
68010,NA,Bambi
192199,NA,Rspo1
208117,NA,Aph1b
68318,NA,Aph1c
18223,NA,Numbl
19207,5,Ptch2
233812,NA,Mosmo
13590,NA,Lefty1
17965,NA,Nbl1
268902,5,Robo2
20346,NA,Sema3a
16728,NA,L1cam
18846,4,Plxna3
223881,5,Rnd1
50780,NA,Rgs3
107448,3,Unc5a
22253,3,Unc5c
14283,3,Fosl1
12703,3,Socs1
232801,6,Lilra5
170788,NA,Crb1
27494,4,Amot
12695,5,Patj
217325,4,Llgl2
105782,5,Scrib
21677,4,Tead2
320910,4,Itgb8
67938,4,Myl12b
12389,3,Cav1
15366,NA,Hmmr
12505,4,Cd44
329872,NA,Frem1
14960,4,H2-Aa
14961,4,H2-Ab1
14969,4,H2-Eb1
15000,4,H2-DMb2
18190,NA,Nrxn2
20737,NA,Spn
18260,3,Ocln
20343,NA,Sell
16415,4,Itgb2l
22329,4,Vcam1
380928,5,Lmo7
20411,5,Sorbs1
102098,5,Arhgef18
22350,3,Ezr
56332,4,Amotl2
14609,3,Gja1
16880,3,Lifr
74145,8,F13a1
17175,NA,Masp2
18816,NA,Serpinf2
19124,NA,Procr
17087,7,Ly96
257632,NA,Nod2
54483,4,Mefv
107607,4,Nod1
102639543,NA,Ifi206
80861,NA,Dhx58
170776,NA,Cd209c
17474,4,Clec4d
12700,4,Cish
216233,3,Socs2
67296,4,Socs4
20844,NA,Stam
14600,3,Ghr
16186,3,Il2rg
16190,3,Il4ra
18414,3,Osmr
19116,3,Prlr
213208,3,Il20rb
242700,3,Ifnlr1
18106,4,Cd244a
20371,4,Foxp3
22165,3,Txk
217166,6,Nr1d1
18627,4,Per2
12952,4,Cry1
14812,4,Grin2b
14799,4,Gria1
20588,5,Smarcc1
20908,5,Stx3
73914,5,Irak3
170483,4,Grin3b
242443,4,Grin3a
257962,4,Olfr222
258389,4,Olfr1278
258406,4,Olfr462
258463,4,Olfr1393
258571,4,Olfr1033
258712,4,Olfr433
258861,4,Olfr763
258968,4,Olfr1247
259041,4,Olfr1414
259083,4,Olfr547
110876,NA,Scn2a
213119,4,Itga10
54646,4,Ppp1r3f
19087,4,Prkar2a
19088,4,Prkar2b
110095,4,Pygl
19309,4,Pygm
216154,NA,Med16
17691,4,Sik1
381489,NA,Rxfp1
240047,2,Mmp25
12393,4,Runx2
11931,3,Atp1b1
11936,3,Fxyd2
17748,NA,Mt1
30924,NA,Angptl3
17762,3,Mapt
68118,4,Atg101
56488,9,Nxt1
215114,NA,Hip1
19122,NA,Prnp
56233,NA,Hdac7
70315,NA,Hdac8
622434,NA,Arhgef26
234683,6,Elmo3
17920,4,Myo6
12306,NA,Anxa2
50492,NA,Thop1
16178,4,Il1r2
170767,5,Rfxap
19727,5,Rfxank
18046,5,Nfyc
16706,4,Ksr1
12795,4,Plk3
