,blood_mac_1,blood_mac_2,blood_mac_3,sm_mac_1,sm_mac_2,sm_mac_3
Foxp1,91.5451509746963,59.1663219028426,79.8960005396316,78.9356676013923,62.2376705119378,82.6609673915562
Eif4e3,71.9458871083016,72.3724240173485,70.9290319353778,70.9227596591343,93.7981486263429,86.2729735005795
Rybp,84.2031069871284,74.6107464096376,92.2449746036212,112.067052922927,108.814005813175,113.798951090033
Shq1,6.11325001475321,6.82688329648184,5.92626644779403,5.51242603119874,6.0810824353913,5.02359470335424
Ppp4r2,75.570829328105,59.091711156433,81.4784067639116,79.8449337508683,78.1707859432144,80.4605498768638
Pdzrn3,5.31453393242364,2.72329224395177,4.37488779653905,3.35291892619305,0.815340661728443,2.24193482629032
Cntn3,1.29023367145545,0.708802090891557,0.961854763778089,3.63706459790432,0.543560441152295,1.61917515232079
Chl1,1.53599246601839,0.484969851662645,0.620551460501993,4.31901421001138,0.64547802386835,1.49462321752688
Cntn6,0.153599246601839,0.0373053732048188,0.0620551460501993,0.681949612107061,0.271780220576148,0.871863543557348
Cntn4,0.58367713708699,0.149221492819275,0.0930827190752989,1.93219056763667,0.509587913580277,0.456690427577658
Il5ra,5.03805528854033,6.52844031084329,5.55393557149283,31.4833404256093,8.86682969629681,11.5833299358333
Trnt1,37.4474963215284,27.1210063199033,28.5763947561168,29.7216372609994,34.4821154855987,32.5910896044056
Crbn,47.2471282547258,43.4980651568187,45.7346426389969,46.8272066980182,48.9883847588506,46.8730447941069
Lrrn1,3.71710176776451,1.04455044973493,1.92370952755618,2.72779844842824,1.25698352016468,1.90979633350657
Setmar,2.30398869902759,0.820718210506014,1.76857166243068,3.18243152316628,0.815340661728443,0.954898166753286
Sumf1,76.4002652597549,72.3724240173485,69.5638187222734,59.2159579846298,69.8475166880699,61.8607942809737
Itpr1,213.441513077916,147.953110130311,183.528094443464,158.951088755287,120.84028057367,121.811792228441
Bhlhe40,518.151698486645,212.939070253106,296.158184524576,278.178612605339,181.515214817295,264.71437874865
Arl8b,105.952760305949,74.2376926775894,90.6625683793411,79.5039589448148,79.3258518806631,86.895733174549
Edem1,225.637293258102,216.14733234872,241.177325124099,213.904861664248,238.181390807421,223.819826824651
Grm7,0.122879397281472,0.223832239228913,0.0620551460501993,3.01194412013952,0.44164285843624,1.28703665953704
Lmcd1,9.49243343999367,3.46939970804815,2.35809554990757,21.0267797066344,2.37807693004129,4.11021384819893
Rad18,2.91838568543495,8.35640359787941,6.48476276224582,5.569255165541,7.60984617613213,4.77449083376643
Srgap3,72.1302062042238,47.9374045681922,68.6950466775706,68.2517903450483,41.1747034172864,52.6439511062246
Thumpd3,33.7303945537639,33.4256143915177,31.7412072046769,29.1533459175768,38.0832034082327,33.2968839015711
Gt(ROSA)26Sor,45.1274586516204,24.1738818367226,33.3546410019821,42.5081924880068,39.8837473695497,41.5173115979689
Setd5,147.055918696601,147.207002666215,167.393756470413,193.730518972747,191.910808254332,188.114938850397
Lhfpl4,0.952315328931404,1.1937719425542,0.558496314451793,5.51242603119874,1.49479121316881,2.49103869587814
Mtmr14,68.7203029296629,63.2326075821679,59.6660229272666,62.4552186421383,65.1932804107034,64.4348676000478
Cpne9,3.65566206912378,3.43209433484333,3.72330876301196,5.79657170291002,3.73697803292203,4.85752545696237
Brpf1,100.300308031001,133.888984432095,121.44192082024,108.998279668445,122.131236621406,117.493991822252
Ogg1,7.89500127533455,10.3708937509396,9.09107889635419,8.29705361396924,13.7928461942395,11.5833299358333
Camk1,63.8972865863652,83.8251735912279,72.6665760247833,76.435185690333,86.562000253503,87.3939409137246
Tada3,30.5355302244457,30.4411845351321,26.1252164871339,24.3796986328274,26.2947363407423,26.6541140458961
Arpc4,285.356680336897,279.342634557683,226.997724251629,196.344659152491,230.877297379437,215.059674077479
Ttll3,73.8505177661644,76.7371526823123,63.6375522744793,60.8071737462129,69.2020386642016,69.7490834845878
Rpusd3,4.27005905553114,4.92430926303608,4.18872235838845,5.22828035948746,2.61588462304542,3.15531568144564
Cidec,0.0614396986407358,0.63419134448192,0.186165438150598,1.02292441816059,0.475615386008258,0.622759673969534
Jagn1,15.3599246601839,14.6983170426986,10.0529336601323,11.4794851371355,11.5506593744863,10.0056720951105
Il17re,3.65566206912378,2.05179552626503,2.79248157225897,2.38682364237471,1.86848901646101,1.24551934793907
Il17rc,5.25309423378291,4.21550717214453,3.38200545973586,6.36486304633257,1.46081868559679,2.65710794227001
Creld1,16.035761345232,19.1376564540721,19.1750401295116,19.606051348078,13.4870934460913,14.4895417476912
Prrt3,1.35167337009619,1.86526866024094,1.61343379730518,1.47755749289863,2.14026923703716,1.99283095670251
Tmem111,51.6707865568588,59.091711156433,55.3531902767777,52.7374366696127,50.5171484995914,57.2108553820012
Fancd2,5.86749122019026,7.42376926775894,7.88100354837531,6.98998352409737,7.67779123127617,8.012841138408
4931417G12Rik,0.491517589125886,0.820718210506014,0.83774447167769,1.6480448959254,0.203835165432111,0.166069246391876
6720456B07Rik,124.568988994092,122.47354023142,106.083272172816,96.6095283818336,99.539505786014,106.69949080678
Vhl,45.9568945832703,32.1572317025538,29.0728359245184,29.0396876488923,27.4158297506189,27.1938390966697
Irak2,137.409886010006,171.903159727805,153.307238317017,142.243323258664,180.360148879846,175.078503008635
Tatdn2,79.6258494383935,80.504995375999,74.435147687214,67.1152076582032,76.0305167061773,79.9623421376882
Ghrl,1.44383291805729,2.90981910997587,1.17904777495379,1.59121576158314,2.10629670946514,2.98924643505376
Sec13,43.7450654322039,38.8348935062164,36.4884258775172,33.642847530615,31.2207528386849,26.2804582415143
Atp2b2,2.61118719223127,1.75335254062648,1.89268195453108,6.53535044935933,2.51396704032936,2.69862525386798
Slc6a11,0.522237438446254,0,0.186165438150598,4.83047641909168,0.713423079012387,1.03793278994922
Hrh1,12.4722588240694,9.77400777966253,10.5493748285339,22.049704124795,14.2344890526757,20.6756211757885
Atg7,38.5226910477413,42.1550717214453,44.5555948640431,37.2799121285193,39.3741594559694,36.120061090233
Vgll4,29.2452965529902,37.7530376832766,30.0036631152713,38.3028365466799,34.3801979028827,36.8258553873985
1500001M20Rik,8.87803645358632,7.23724240173485,7.81894840232511,8.18339534528473,6.65861540411562,5.52180244252987
Syn2,1.6281520139795,0.858023583710833,2.54426098805817,4.20535594132687,1.01917582716055,2.07586557989845
