geneid_symbol,pvn_A14_log2FC,pvn_L14_log2FC,pvn_A3_log2FC,pvn_L3_log2FC,PVN_14A1,PVN_14A2,PVN_14A3,PVN_14L1,PVN_14L3_b1,PVN_14L4,PVN_3A1_b1,PVN_3A2,PVN_3A3_b1,PVN_3L1_b1,PVN_3L2_b1,PVN_3L3,PVN_naive1,PVN_naive2,PVN_naive3
Polrmt,-0.495006047334622,-1.13069361490116,-0.297567614502317,-1.14484728418954,40.801476,0,14.06697,26.261217,69.848686,23.629056,46.785445,18.92262,28.370768,26.004839,16.795177,17.542371,57.502608,24.832975,10.487227
Hmmr,Inf,Inf,Inf,Inf,4.902454,0,3.161039,2.458075,2.129219,2.414348,11.884066,4.166406,0.631114,0.858014,0,2.230946,0,0.666974,2.749674
Hcn2,-0.955521435470148,-2.23833957824276,-0.534784037215131,-0.900964504312755,2.859852,0,2.316149,1.175376,2.421687,0.391707,3.828231,0.91778,0,2.970071,2.895352,2.263795,5.546055,1.033375,0.877823
Acsl6,-0.992238209648548,0.411050822735938,-0.689399940884008,-2.25144015883322,0.872034,0,1.003222,2.306564,0.689474,3.699042,1.075714,3.506551,0,0.364314,0.507064,1.171654,1.73471,4.417312,0
Zfp354b,Inf,Inf,NA,Inf,2.801641,0,5.425614,3.748572,0,6.142898,0,3.060347,0.540056,1.718952,5.006693,1.734014,0,1.668397,6.29892
Cyfip2,5.73854449880001,4.37707896889029,7.35808058463986,4.07913478376511,18.926729,11.694302,2.855465,7.366032,7.604081,2.982817,58.157336,33.280837,9.262365,5.991609,4.35108,6.001014,0.354488,1.473472,17.355152
Mgat1,-0.55794827577527,-0.715174120825516,-0.169663484799122,0.290284161895049,138.188064,127.320963,180.966256,123.919838,280.564391,139.583915,180.86557,197.454969,207.152811,248.779127,236.755467,193.161386,203.436886,175.853761,157.242248
Ppp2ca,-0.0799681415776769,0.171159289346328,0.288423570947954,0.198481989323941,43.743454,40.80124,54.662221,52.060695,37.129765,58.165416,56.468991,46.647409,40.150855,53.05605,45.557042,45.363836,46.236599,50.532914,52.894862
Hnrnpab,1.16158070149662,0.297480024934177,0.255049531994484,0.734009352361369,483.90386,360.70171,295.029922,265.851346,232.620356,217.796542,258.146364,239.517808,356.751758,359.788506,350.765784,250.166816,216.315905,378.154413,276.624278
Phykpl,0.702431692992542,0.0455113525551687,-0.104201277581963,0.798483973943543,138.349513,128.692785,106.495965,87.745511,62.179059,135.695452,79.096436,66.286175,77.755679,147.874147,148.171265,145.037966,85.02069,126.606195,146.66053
Hspa4,0.98145991296979,0.213259175646402,0.210028330184559,-0.0515566360046517,114.818471,128.221104,80.971107,67.415583,64.972522,69.514481,67.264778,86.721959,86.469591,56.110326,79.932276,48.880361,58.151763,84.596964,61.494322
Cnot6,-0.151106786579214,-0.571208441130328,-1.2809163530407,-0.196010305706466,29.190782,62.089525,20.497221,21.816372,20.497829,12.817892,13.339488,28.049961,23.826796,28.29622,31.632145,49.998622,32.414058,26.547164,34.255408
