group,n_genes
BS_14_GO_down,31
BS_14_GO_up,6
BS_3_GO_down,18
BS_3_GO_up,3
CTX_14_GO_down,5
CTX_14_GO_up,10
CTX_3_GO_down,11
CTX_3_GO_up,7
PVN_14_GO_down,11
PVN_14_GO_up,26
PVN_3_GO_down,8
PVN_3_GO_up,17
